Slug,Waypoint Type,No Drones,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score
blocks_hill_3,Blocks,3,HILL,372.0610008239746,389.3789342244466,417.5952301025391,1168.1368026733398,1585.732032775879
blocks_ga_3,Blocks,3,GA,339.75038146972656,407.82466252644855,507.0078125,1223.4739875793457,1730.4818000793457
blocks_aco_3,Blocks,3,ACO,372.0610008239746,389.3789342244466,417.5952301025391,1168.1368026733398,1585.732032775879
blocks_tabu_3,Blocks,3,TABU,339.8008232116699,384.2041422526042,442.2337875366211,1152.6124267578125,1594.8462142944336
