Slug,Waypoint Type,No Drones,MTSP Algorithm,RL Algorithm,Action Type,Calc Mean Distance,Calc Total Distance,Real Mean Distance,Real Total Distance,Average Time,Elapsed Time
blocks_tabu_ppo_disc_airsim_3,Blocks,3,TABU,PPO,Disc,389.3789342244466,1168.1368026733398,445.76924726306834,1337.307741789205,747.3077484766642,790.7416501045227
neighbourhood_tabu_ppo_disc_airsim_3,Neighbourhood,3,TABU,PPO,Disc,588.0743649800619,1764.2230949401855,732.5764032386584,2117.7292097159752,1246.6673374176025,1339.7708146572113
africa_tabu_ppo_disc_airsim_3,Africa,3,TABU,PPO,Disc,1045.036329905192,3135.108989715576,1167.3507585116693,3502.0522755350075,1927.6750175952911,2177.067828655243
mountains_tabu_ppo_disc_airsim_3,Mountains,3,TABU,PPO,Disc,1460.4033177693684,4381.2099533081055,1646.0965294144355,4938.289588243307,2285.9478334585824,2469.4607434272766
