Slug,Waypoint Type,No Drones,MTSP Algorithm,RL Algorithm,Action Type,Calc Mean Distance,Calc Total Distance,Real Mean Distance,Real Total Distance,Average Time,Elapsed Time
blocks_tabu_ppo_cont_airsim_3,Blocks,3,TABU,PPO,Cont,389.3789342244466,1168.1368026733398,440.0921117324222,1320.2763351972667,676.1267948150635,715.4433624744415
neighbourhood_tabu_ppo_cont_airsim_3,Neighbourhood,3,TABU,PPO,Cont,588.0743649800619,1764.2230949401855,692.9142862692815,2078.7428588078446,1229.3437727292378,1294.5165555477142
africa_tabu_ppo_cont_airsim_3,Africa,3,TABU,PPO,Cont,1045.036329905192,3135.108989715576,1183.854084674231,3551.5622540226927,1846.593268473943,2059.44063782692
mountains_tabu_ppo_cont_airsim_3,Mountains,3,TABU,PPO,Cont,1460.4033177693684,4381.2099533081055,1635.0747436501197,4905.224230950359,2043.8034733136487,2220.4452896118164
