Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_200_200_hill_2,Random_200,2,200,HILL,64945.27029655384,69925.5694250238,74905.86855349375,139851.1388500476,214757.00740354136,2.223207712173462
random_200_200_ga_2,Random_200,2,200,GA,158658.86961672758,159784.8396366535,160910.8096565794,319569.679273307,480480.4889298864,309.0813400745392
random_200_200_aco_2,Random_200,2,200,ACO,29313.349871153845,34462.515653058275,39611.68143496271,68925.03130611655,108536.71274107926,1132.2833588123322
random_200_200_tabu_2,Random_200,2,200,TABU,55731.9091404889,57306.42871930203,58880.94829811516,114612.85743860406,173493.80573671922,263.5751037597656
random_200_200_hill_3,Random_200,3,200,HILL,40485.167429155175,45654.83992982699,48688.58383245672,136964.51978948095,185653.10362193768,2.827439546585083
random_200_200_ga_3,Random_200,3,200,GA,101173.81492435905,104841.41669203552,110663.86131306906,314524.2500761066,425188.1113891757,305.9449372291565
random_200_200_aco_3,Random_200,3,200,ACO,19022.90827411931,22788.82154954015,28698.186184998587,68366.46464862044,97064.65083361905,1132.4514162540436
random_200_200_tabu_3,Random_200,3,200,TABU,53442.72094434731,56735.84688820263,58910.71975084187,170207.5406646079,229118.26041544977,268.3959610462189
random_200_200_hill_5,Random_200,5,200,HILL,25879.02036230964,28515.53164498625,31111.273010154164,142577.65822493128,173688.93123508545,2.348142623901367
random_200_200_ga_5,Random_200,5,200,GA,42377.93655202737,60781.13777659911,75327.1986446941,303905.6888829956,379232.8875276897,306.7167434692383
random_200_200_aco_5,Random_200,5,200,ACO,9493.183623534554,11085.9602492873,12164.820255209184,55429.8012464365,67594.62150164568,1169.8628499507904
random_200_200_tabu_5,Random_200,5,200,TABU,46089.780529811185,47952.61191137552,49526.92397720859,239763.0595568776,289289.9835340862,270.803062915802
