Slug,Waypoint Type,RL Algorithm,Action Type,Success Rate,2D Distance,Distance,Elevation,Time
single_disc_ppo,Single,PPO,disc,1.0,117.0925815626551,119.18478109800526,6.407917022705078,113.97293186187744
single_cont_ppo,Single,PPO,cont,1.0,105.1402842085281,121.59458857102688,11.345365166664124,114.26972007751463
multiple_disc_ppo,Multiple,PPO,disc,0.8,271.5935413185279,284.6342021204941,9.025210976600649,280.16867184638977
multiple_cont_ppo,Multiple,PPO,cont,0.8,270.3832342492312,301.15963515854776,8.847543001174927,276.2785608768463
obstacle_disc_ppo,Obstacle,PPO,disc,1.0,81.58111062328466,102.93570614941119,16.349552035331726,110.42726039886476
obstacle_cont_ppo,Obstacle,PPO,cont,1.0,85.31160067909994,108.48790277161858,20.92836081981659,97.40860939025879
