Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_20_20_hill_3,Random_20,3,20,HILL,378.36,735.52,1073.16,2206.55,3279.72,0.89
random_20_20_ga_3,Random_20,3,20,GA,800.99,882.15,927.52,2646.45,3573.97,34.27
random_20_20_aco_3,Random_20,3,20,ACO,460.73,714.89,844.61,2144.66,2989.28,3.59
random_20_20_tabu_3,Random_20,3,20,TABU,669.81,697.92,723.39,2093.76,2817.15,31.41
random_50_50_hill_3,Random_50,3,50,HILL,2508.66,2998.07,3577.99,8994.20,12572.19,1.03
random_50_50_ga_3,Random_50,3,50,GA,4614.10,5288.83,5654.17,15866.48,21520.65,80.69
random_50_50_aco_3,Random_50,3,50,ACO,2091.53,2640.32,3641.78,7920.97,11562.75,23.40
random_50_50_tabu_3,Random_50,3,50,TABU,2808.11,2865.25,2927.68,8595.75,11523.43,72.54
random_100_100_hill_3,Random_100,3,100,HILL,10806.85,11553.78,12393.37,34661.33,47054.70,1.42
random_100_100_ga_3,Random_100,3,100,GA,17940.03,22410.73,25789.35,67232.18,93021.53,152.94
random_100_100_aco_3,Random_100,3,100,ACO,6626.77,8128.44,10331.95,24385.32,34717.27,144.98
random_100_100_tabu_3,Random_100,3,100,TABU,12465.83,13134.19,13804.78,39402.57,53207.35,135.44
random_200_200_hill_3,Random_200,3,200,HILL,40485.17,45654.84,48688.58,136964.52,185653.10,2.83
random_200_200_ga_3,Random_200,3,200,GA,101173.81,104841.42,110663.86,314524.25,425188.11,305.94
random_200_200_aco_3,Random_200,3,200,ACO,19022.91,22788.82,28698.19,68366.46,97064.65,1132.45
random_200_200_tabu_3,Random_200,3,200,TABU,53442.72,56735.85,58910.72,170207.54,229118.26,268.40
