Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_20_20_hill_2,Random_20,2,20,HC,1072.67,1166.89,1261.11,2333.78,3594.89,0.85
random_20_20_ga_2,Random_20,2,20,GA,1181.07,1234.61,1288.14,2469.21,3757.36,34.36
random_20_20_aco_2,Random_20,2,20,ACO,932.64,958.06,983.48,1916.12,2899.60,2.98
random_20_20_tabu_2,Random_20,2,20,TS,918.05,934.03,950.00,1868.05,2818.05,30.74
random_50_50_hill_2,Random_50,2,50,HC,4030.35,4681.80,5333.24,9363.59,14696.83,1.06
random_50_50_ga_2,Random_50,2,50,GA,7225.08,7429.61,7634.14,14859.23,22493.37,79.25
random_50_50_aco_2,Random_50,2,50,ACO,3290.71,3639.08,3987.44,7278.16,11265.60,22.97
random_50_50_tabu_2,Random_50,2,50,TS,3428.89,3531.93,3634.98,7063.86,10698.84,71.88
random_100_100_hill_2,Random_100,2,100,HC,13987.28,15295.68,16604.08,30591.36,47195.44,1.39
random_100_100_ga_2,Random_100,2,100,GA,36159.03,36615.16,37071.29,73230.33,110301.62,155.12
random_100_100_aco_2,Random_100,2,100,ACO,10505.13,11306.24,12107.34,22612.47,34719.81,142.99
random_100_100_tabu_2,Random_100,2,100,TS,13024.93,13168.42,13311.91,26336.85,39648.76,135.10
random_200_200_hill_2,Random_200,2,200,HC,64945.27,69925.57,74905.87,139851.14,214757.01,2.22
random_200_200_ga_2,Random_200,2,200,GA,158658.87,159784.84,160910.81,319569.68,480480.49,309.08
random_200_200_aco_2,Random_200,2,200,ACO,29313.35,34462.52,39611.68,68925.03,108536.71,1132.28
random_200_200_tabu_2,Random_200,2,200,TS,55731.91,57306.43,58880.95,114612.86,173493.81,263.58
