Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_100_100_hill_2,Random_100,2,100,HILL,13987.28,15295.68,16604.08,30591.36,47195.44,1.39
random_100_100_ga_2,Random_100,2,100,GA,36159.03,36615.16,37071.29,73230.33,110301.62,155.12
random_100_100_aco_2,Random_100,2,100,ACO,10505.13,11306.24,12107.34,22612.47,34719.81,142.99
random_100_100_tabu_2,Random_100,2,100,TABU,13024.93,13168.42,13311.91,26336.85,39648.76,135.10
random_100_100_hill_3,Random_100,3,100,HILL,10806.85,11553.78,12393.37,34661.33,47054.70,1.42
random_100_100_ga_3,Random_100,3,100,GA,17940.03,22410.73,25789.35,67232.18,93021.53,152.94
random_100_100_aco_3,Random_100,3,100,ACO,6626.77,8128.44,10331.95,24385.32,34717.27,144.98
random_100_100_tabu_3,Random_100,3,100,TABU,12465.83,13134.19,13804.78,39402.57,53207.35,135.44
random_100_100_hill_5,Random_100,5,100,HILL,2932.51,6510.72,7940.13,32553.59,40493.72,1.45
random_100_100_ga_5,Random_100,5,100,GA,11023.51,12848.34,14687.13,64241.71,78928.84,156.74
random_100_100_aco_5,Random_100,5,100,ACO,3373.61,4750.02,7878.31,23750.10,31628.41,151.87
random_100_100_tabu_5,Random_100,5,100,TABU,8919.29,10663.98,11374.58,53319.91,64694.49,141.72
