Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_200_200_hill_2,Random_200,2,200,HILL,64945.27,69925.57,74905.87,139851.14,214757.01,2.22
random_200_200_ga_2,Random_200,2,200,GA,158658.87,159784.84,160910.81,319569.68,480480.49,309.08
random_200_200_aco_2,Random_200,2,200,ACO,29313.35,34462.52,39611.68,68925.03,108536.71,1132.28
random_200_200_tabu_2,Random_200,2,200,TABU,55731.91,57306.43,58880.95,114612.86,173493.81,263.58
random_200_200_hill_3,Random_200,3,200,HILL,40485.17,45654.84,48688.58,136964.52,185653.10,2.83
random_200_200_ga_3,Random_200,3,200,GA,101173.81,104841.42,110663.86,314524.25,425188.11,305.94
random_200_200_aco_3,Random_200,3,200,ACO,19022.91,22788.82,28698.19,68366.46,97064.65,1132.45
random_200_200_tabu_3,Random_200,3,200,TABU,53442.72,56735.85,58910.72,170207.54,229118.26,268.40
random_200_200_hill_5,Random_200,5,200,HILL,25879.02,28515.53,31111.27,142577.66,173688.93,2.35
random_200_200_ga_5,Random_200,5,200,GA,42377.94,60781.14,75327.20,303905.69,379232.89,306.72
random_200_200_aco_5,Random_200,5,200,ACO,9493.18,11085.96,12164.82,55429.80,67594.62,1169.86
random_200_200_tabu_5,Random_200,5,200,TABU,46089.78,47952.61,49526.92,239763.06,289289.98,270.80
