Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_20_20_hill_5,Random_20,5,20,HILL,114.69,456.53,888.26,2282.63,3170.89,0.96
random_20_20_ga_5,Random_20,5,20,GA,374.73,484.28,573.40,2421.38,2994.78,38.70
random_20_20_aco_5,Random_20,5,20,ACO,300.21,481.09,590.91,2405.45,2996.36,5.02
random_20_20_tabu_5,Random_20,5,20,TABU,415.63,462.52,521.20,2312.62,2833.82,34.85
random_50_50_hill_5,Random_50,5,50,HILL,663.68,1811.98,2510.79,9059.88,11570.67,1.07
random_50_50_ga_5,Random_50,5,50,GA,2223.64,3037.34,3938.86,15186.72,19125.58,82.99
random_50_50_aco_5,Random_50,5,50,ACO,1155.56,1752.92,2073.00,8764.61,10837.61,26.71
random_50_50_tabu_5,Random_50,5,50,TABU,2326.19,2612.88,2784.46,13064.38,15848.84,76.11
random_100_100_hill_5,Random_100,5,100,HILL,2932.51,6510.72,7940.13,32553.59,40493.72,1.45
random_100_100_ga_5,Random_100,5,100,GA,11023.51,12848.34,14687.13,64241.71,78928.84,156.74
random_100_100_aco_5,Random_100,5,100,ACO,3373.61,4750.02,7878.31,23750.10,31628.41,151.87
random_100_100_tabu_5,Random_100,5,100,TABU,8919.29,10663.98,11374.58,53319.91,64694.49,141.72
random_200_200_hill_5,Random_200,5,200,HILL,25879.02,28515.53,31111.27,142577.66,173688.93,2.35
random_200_200_ga_5,Random_200,5,200,GA,42377.94,60781.14,75327.20,303905.69,379232.89,306.72
random_200_200_aco_5,Random_200,5,200,ACO,9493.18,11085.96,12164.82,55429.80,67594.62,1169.86
random_200_200_tabu_5,Random_200,5,200,TABU,46089.78,47952.61,49526.92,239763.06,289289.98,270.80
