Slug,Waypoint Type,No Drones,MTSP Algorithm,RL Algorithm,Action Type,Calc Mean Distance,Calc Total Distance,Real Mean Distance,Real Total Distance,Average Time,Elapsed Time
blocks_hill_ppo_disc_airsim_3,Blocks,3,HILL,PPO,Disc,389.915205637614,1169.7456169128418,443.27950714621306,1329.8385214386392,981.5664965311686,1033.9270782470703
blocks_tabu_ppo_cont_airsim_3,Blocks,3,TABU,PPO,Cont,389.3789342244466,1168.1368026733398,440.0921117324222,1320.2763351972667,676.1267948150635,715.4433624744415
blocks_tabu_ppo_disc_airsim_3,Blocks,3,TABU,PPO,Disc,389.3789342244466,1168.1368026733398,445.76924726306834,1337.307741789205,747.3077484766642,790.7416501045227
africa_tabu_ppo_cont_airsim_3,Africa,3,TABU,PPO,Cont,1045.036329905192,3135.108989715576,1183.854084674231,3551.5622540226927,1846.593268473943,2059.44063782692
mountains_tabu_ppo_disc_airsim_3,Mountains,3,TABU,PPO,Disc,1460.4033177693684,4381.2099533081055,1646.0965294144355,4938.289588243307,2285.9478334585824,2469.4607434272766
